,draftRnd,ht_inch,Wt,dash,yr1,yr2,yr3,yr4,pos_QB,pos_RB,pos_WR,draftStat_No,draftStat_Yes,Salary_log1p
0,6,76,211,5.28,0.6,356.3,488.4,454.0,1,0,0,0,1,13.290080472996397
1,6,74,208,4.97,0.0,0.0,238.6,472.5,1,0,0,0,1,13.107759254439594
2,1,75,229,4.81,10.7,13.2,400.0,265.9,1,0,0,0,1,15.746814699589263
3,3,75,222,5.37,1.9,0.0,131.4,5.8,1,0,0,0,1,14.364702491523389
4,2,72,213,4.83,26.1,396.4,254.8,423.9,1,0,0,0,1,14.512510805917007
5,4,76,228,4.74,0.0,0.0,9.0,30.4,1,0,0,0,1,13.602610611325943
6,1,72,210,4.33,86.5,357.6,74.5,287.3,1,0,0,0,1,15.677262554412508
7,4,76,226,5.2,337.1,18.0,0.0,0.0,1,0,0,0,1,13.854195251523178
8,1,75,223,4.67,295.2,237.3,417.1,304.8,1,0,0,0,1,15.74579947122291
9,4,74,235,4.82,27.1,12.6,45.4,127.7,1,0,0,0,1,13.253595127877562
10,1,76,215,4.89,277.4,356.0,380.7,250.1,1,0,0,0,1,15.640438971688003
11,3,76,221,4.59,6.6,121.8,295.1,219.6,1,0,0,0,1,14.398726236250981
12,1,75,234,4.61,154.0,307.9,223.9,68.5,1,0,0,0,1,14.5060592403502
13,1,73,217,5.06,51.7,64.7,29.9,411.3,1,0,0,0,1,13.545178434247559
14,1,77,241,4.85,337.9,354.1,272.3,143.9,1,0,0,0,1,15.391424985177599
15,1,77,232,4.65,0.0,361.7,511.6,515.5,1,0,0,0,1,15.924723379310727
16,0,74,230,5.01,0.0,0.0,0.0,366.3,1,0,0,1,0,13.909821147435512
17,4,71,196,4.56,0.0,0.0,21.3,124.7,1,0,0,0,1,13.658506979154595
18,1,74,224,4.73,3.2,166.0,381.1,136.4,1,0,0,0,1,14.57976883166149
19,1,77,221,4.9,128.3,472.2,420.4,425.6,1,0,0,0,1,15.856061961844775
20,4,76,208,4.71,76.8,0.0,0.0,120.9,1,0,0,0,1,13.318638791389382
21,1,77,229,5.08,7.3,11.5,426.8,399.2,1,0,0,0,1,15.741181701667209
22,1,77,241,4.75,330.1,306.5,423.3,443.4,1,0,0,0,1,13.99796460598088
23,3,78,243,5.04,37.0,65.5,24.8,260.1,1,0,0,0,1,13.940689289032079
24,6,78,242,5.03,0.0,99.3,494.7,197.5,1,0,0,0,1,13.908318518919398
25,1,77,230,4.71,0.0,169.7,318.0,376.5,1,0,0,0,1,14.170682573071058
26,7,74,232,4.86,93.7,0.0,0.0,222.5,1,0,0,0,1,13.88381012250283
27,3,76,225,4.79,116.2,285.4,3.4,16.3,1,0,0,0,1,13.908318518919398
28,5,77,225,4.93,6.3,0.0,0.0,193.6,1,0,0,0,1,13.88381012250283
29,4,76,233,5.06,222.9,0.0,59.8,369.2,1,0,0,0,1,14.221975832405967
30,1,74,223,4.71,6.5,4.6,25.8,515.8,1,0,0,0,1,16.516838280422
31,1,76,217,4.71,91.5,353.0,99.4,0.0,1,0,0,0,1,14.792520401308224
32,3,78,233,4.86,0.0,179.7,3.8,20.4,1,0,0,0,1,13.918789809293271
33,2,74,224,4.89,0.0,172.9,2.6,12.5,1,0,0,0,1,13.337581202968607
34,3,74,205,4.88,2.3,146.7,15.1,31.0,1,0,0,0,1,13.337581202968607
35,1,75,226,4.77,136.1,429.7,552.6,474.6,1,0,0,0,1,16.269147090899317
36,6,73,217,4.59,202.1,13.0,2.6,124.7,1,0,0,0,1,13.328191477833217
37,2,74,226,4.69,55.5,227.1,141.6,24.1,1,0,0,0,1,13.337581202968607
38,1,77,223,4.9,298.7,72.7,30.4,43.5,1,0,0,0,1,14.06742891495463
39,3,77,223,4.75,0.0,0.0,0.0,0.0,1,0,0,0,1,13.337581202968607
40,1,77,229,4.48,267.9,290.6,25.9,227.9,1,0,0,0,1,14.733176743468238
41,2,74,215,4.75,59.9,0.0,0.0,0.0,1,0,0,0,1,13.438342777160958
42,3,76,231,4.76,191.0,313.9,140.9,60.1,1,0,0,0,1,14.25578647049697
43,2,75,218,4.85,0.0,14.4,90.1,147.7,1,0,0,0,1,13.61369543011134
44,6,78,231,4.98,0.0,4.1,0.0,1.8,1,0,0,0,1,13.194146219966626
45,1,76,232,4.73,4.5,59.8,165.9,0.0,1,0,0,0,1,13.592493248681205
46,5,72,225,4.72,53.2,12.2,2.4,137.6,1,0,0,0,1,13.34219906376069
47,2,75,226,4.75,0.0,15.9,25.9,94.0,1,0,0,0,1,13.498182692820723
