,Player,ht_inch,draftTeam,draftStat,draftRnd,Wt,dash,Yds_1,TD_1,Yds_2,TD_2,Yds_3,TD_3,Yds_4,TD_4,Salary
0,Tom Brady,76,New England Patriots ,Yes,6,211,5.28,6,0,2843,18,3764,28,3620,23,591300.0
2,Marc Bulger,74,New Orleans Saints ,Yes,6,208,4.97,0,0,0,0,1826,14,3845,22,492750.0
14,Chad Pennington,75,New York Jets ,Yes,1,229,4.81,67,1,92,1,3120,22,2139,13,6898500.0
16,Chris Redman,75,Baltimore Ravens ,Yes,3,222,5.37,19,0,0,0,1034,7,58,0,1731852.0
20,Drew Brees,72,San Diego Chargers ,Yes,2,213,4.83,221,1,3284,17,2108,11,3159,27,2007719.9999999998
32,Sage Rosenfels,76,Washington Redskins ,Yes,4,228,4.74,0,0,0,0,50,1,264,1,808236.0
34,Michael Vick,72,Atlanta Falcons ,Yes,1,210,4.33,785,2,2936,16,585,4,2313,14,6435000.0
35,Chris Weinke,76,Carolina Panthers ,Yes,4,226,5.2,2931,11,180,0,0,0,0,0,1039441.6889999999
36,David Carr,75,Houston Texans ,Yes,1,223,4.67,2592,9,2013,9,3531,16,2488,14,6891499.999999999
42,David Garrard,74,Jacksonville Jaguars ,Yes,4,235,4.82,231,1,86,1,374,2,1117,4,570115.0
43,Joey Harrington,76,Detroit Lions ,Yes,1,215,4.89,2294,12,2880,17,3047,19,2021,12,6202349.999999999
45,Josh McCown,76,Arizona Cardinals ,Yes,3,221,4.59,66,0,1018,5,2511,11,1836,9,1791789.9999999998
52,Kyle Boller,75,Baltimore Ravens ,Yes,1,234,4.61,1260,7,2559,13,1799,11,485,5,1994808.7500000002
56,Rex Grossman,73,Chicago Bears ,Yes,1,217,5.06,437,2,607,1,259,1,3193,23,763125.0
58,Byron Leftwich,77,Jacksonville Jaguars ,Yes,1,241,4.85,2819,14,2941,15,2123,15,1159,7,4835160.0
59,Carson Palmer,77,Cincinnati Bengals ,Yes,1,232,4.65,0,0,2897,18,3836,32,4035,28,8241750.000000001
62,Tony Romo,74,,No,0,230,5.01,0,0,0,0,0,0,2903,19,1098900.0
64,Seneca Wallace,71,Seattle Seahawks ,Yes,4,196,4.56,0,0,0,0,173,1,927,8,854700.0000000001
72,J.P. Losman,74,Buffalo Bills ,Yes,1,224,4.73,32,0,1340,8,3051,19,1204,4,2147400.0
73,Eli Manning,77,San Diego Chargers ,Yes,1,221,4.9,1043,6,3762,24,3244,24,3336,23,7694850.0
75,Luke McCown,76,Cleveland Browns ,Yes,4,208,4.71,608,4,0,0,0,0,1009,5,608430.0
80,Philip Rivers,77,New York Giants ,Yes,1,229,5.08,33,1,115,0,3388,22,3152,21,6859750.0
82,Ben Roethlisberger,77,Pittsburgh Steelers ,Yes,1,241,4.75,2621,17,2385,17,3513,18,3154,32,1200158.0
84,Matt Schaub,78,Atlanta Falcons ,Yes,3,243,5.04,330,1,495,4,208,1,2241,9,1133350.0
88,Derek Anderson,78,Baltimore Ravens ,Yes,6,242,5.03,0,0,793,5,3787,29,1615,9,1097250.0
90,Jason Campbell,77,Washington Redskins ,Yes,1,230,4.71,0,0,1297,10,2700,12,3245,13,1426425.0
93,Ryan Fitzpatrick,74,St. Louis Rams ,Yes,7,232,4.86,777,4,0,0,0,0,1905,8,1070685.0
94,Charlie Frye,76,Cleveland Browns ,Yes,3,225,4.79,1002,4,2454,10,34,0,83,2,1097250.0
