,Player,ht_inch,draftTeam,draftStat,draftRnd,Wt,dash,Yds_1,TD_1,Yds_2,TD_2,Yds_3,TD_3,Yds_4,TD_4,Salary
0,Shaun Alexander,72,Seattle Seahawks ,Yes,1,218,4.58,313,2,1318,14,1175,16,1435,14,591300.0
3,Trung Canidate,71,St. Louis Rams ,Yes,1,193,4.41,6,0,441,6,48,0,600,1,1080765.0
7,Ron Dayne,71,New York Giants ,Yes,1,259,4.65,770,5,690,7,428,3,0,0,809424.0
15,Thomas Jones,70,Arizona Cardinals ,Yes,1,216,4.45,373,2,380,5,511,2,627,3,703647.0
18,Jamal Lewis,72,Baltimore Ravens ,Yes,1,240,4.58,1364,6,0,0,1327,6,2066,14,3463704.0
38,Correll Buckhalter,72,Philadelphia Eagles ,Yes,4,226,4.53,586,2,0,0,542,8,0,0,808236.0
42,Travis Henry,69,Buffalo Bills ,Yes,2,223,4.61,729,4,1438,13,1356,10,326,0,971684.9999999999
45,Rudi Johnson,70,Cincinnati Bengals ,Yes,4,227,4.57,0,0,67,0,957,9,1454,12,2347488.0
47,Deuce McAllister,73,New Orleans Saints ,Yes,1,222,4.41,91,1,1388,13,1641,8,1074,9,604890.0
52,LaDainian Tomlinson,70,San Diego Chargers ,Yes,1,221,4.46,1236,10,1683,14,1645,13,1335,17,585585.0
60,Rock Cartwright,68,Washington Redskins ,Yes,7,237,4.47,22,0,411,4,0,0,199,2,821967.9999999999
62,T.J. Duckett,72,Atlanta Falcons ,Yes,1,254,4.45,507,4,779,11,509,8,380,8,680378.9999999999
68,William Green,72,Cleveland Browns ,Yes,1,221,4.6,887,6,559,1,585,2,78,0,570115.0
76,Maurice Morris,71,Seattle Seahawks ,Yes,2,208,4.53,153,0,239,0,126,0,288,1,557585.0
79,Clinton Portis,71,Denver Broncos ,Yes,2,204,4.42,1508,15,1591,14,1315,5,1516,11,570115.0
84,Chester Taylor,71,Baltimore Ravens ,Yes,6,213,4.58,122,0,276,2,714,2,487,0,2506000.0
89,Ricky Williams,67,,No,0,190,4.47,1853,16,1372,9,0,0,743,6,517416.32599999994
90,B.J. Askew,74,New York Jets ,Yes,3,241,4.6,9,0,23,0,59,0,11,0,610500.0
96,Justin Fargas,73,Oakland Raiders ,Yes,3,219,4.35,203,0,126,1,28,0,659,1,610500.0
101,Larry Johnson,73,Kansas City Chiefs ,Yes,1,228,4.45,85,1,581,9,1750,20,1789,17,904761.0000000001
105,Willis McGahee,72,Buffalo Bills ,Yes,1,223,4.45,0,0,1128,13,1247,5,990,6,893466.7500000001
122,Steven Jackson,73,St. Louis Rams ,Yes,1,241,4.55,673,4,1046,8,1528,13,1002,5,796327.5
123,Kevin Jones,72,Detroit Lions ,Yes,1,227,4.38,1133,5,664,5,689,6,581,8,608430.0
124,Julius Jones,70,Dallas Cowboys ,Yes,2,217,4.47,819,7,993,5,1084,4,588,2,608430.0
125,Greg Jones,73,Jacksonville Jaguars ,Yes,2,249,4.55,162,3,575,4,0,0,119,2,548780.0
127,Mewelde Moore,71,Minnesota Vikings ,Yes,4,209,4.65,379,0,662,1,131,0,113,0,608430.0
129,Chris Perry,72,Cincinnati Bengals ,Yes,1,224,4.56,1,0,279,0,57,0,0,0,795731.0
131,Michael Turner,70,San Diego Chargers ,Yes,5,237,4.49,104,0,335,3,502,2,316,1,2803550.0
133,Quincy Wilson,69,Atlanta Falcons ,Yes,7,225,4.6,0,0,0,0,2,0,0,0,30526.484
135,Jason Wright,70,,No,0,210,4.68,10,0,27,1,189,0,277,1,608430.0
136,J.J. Arrington,69,Arizona Cardinals ,Yes,2,214,4.4,370,2,19,0,78,0,187,1,600600.0
137,Marion Barber,71,Dallas Cowboys ,Yes,4,221,4.49,538,5,654,14,975,10,885,7,600600.0
138,Cedric Benson,70,Chicago Bears ,Yes,1,222,4.62,272,0,647,6,674,4,747,2,606375.0
141,Ronnie Brown,72,Miami Dolphins ,Yes,1,233,4.43,907,4,1008,5,602,4,916,10,4225297.23
147,Frank Gore,69,San Francisco 49ers ,Yes,3,217,4.58,608,3,1695,8,1102,5,1036,6,2959110.0
153,Brandon Jacobs,76,New York Giants ,Yes,4,267,4.56,99,7,423,9,1009,4,1089,15,1070685.0
155,Ryan Moats,68,Philadelphia Eagles ,Yes,3,210,4.46,278,3,69,0,0,0,94,1,513975.0
157,Alvin Pearman,69,Jacksonville Jaguars ,Yes,4,208,4.63,149,1,89,1,0,0,0,0,600600.0
161,Darren Sproles,66,San Diego Chargers ,Yes,4,187,4.47,50,0,0,0,164,2,330,1,1270500.0
163,Joseph Addai,71,Indianapolis Colts ,Yes,1,214,4.4,1081,7,1072,12,544,5,828,10,826367.0
165,Reggie Bush,71,New Orleans Saints ,Yes,1,201,4.37,565,6,581,4,404,2,390,5,2996015.0
172,Jerome Harrison,69,Cleveland Browns ,Yes,5,201,4.47,60,0,142,0,246,1,862,5,620065.0
175,Maurice Jones-Drew,67,Jacksonville Jaguars ,Yes,2,207,4.39,941,13,768,9,824,12,1391,15,4693950.0
177,Laurence Maroney,72,New England Patriots ,Yes,1,217,4.48,745,6,835,6,93,0,757,9,695400.0
180,Jerious Norwood,72,Atlanta Falcons ,Yes,3,210,4.4,633,2,613,1,489,4,252,0,620065.0
184,Leon Washington,68,New York Jets ,Yes,4,201,4.42,650,4,353,3,448,6,331,0,620065.0
187,DeAngelo Williams,69,Carolina Panthers ,Yes,1,214,4.45,501,1,717,4,1515,18,1117,7,747555.0
188,Lorenzo Booker,70,Miami Dolphins ,Yes,3,191,4.46,125,0,53,0,0,0,0,0,628650.0
189,Ahmad Bradshaw,69,New York Giants ,Yes,7,198,4.55,190,1,355,1,778,7,1235,8,1144143.0
